CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
939675075,18,MANHATTAN,1/1/2016,0:01:00,5/31/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,COMMERCIAL BUILDING,3/12/2020,988353,217918,40.76481827,-73.98518977,"(40.764818269000045, -73.98518977299995)"
562697319,18,MANHATTAN,2/9/2016,0:01:00,12/15/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,301,"LARCENY,PETIT BY ACQUIRING LOS",STREET,3/11/2020,989419,215672,40.75865302,-73.98134328,"(40.75865301700003, -73.98134327899999)"
885793834,13,MANHATTAN,3/1/2016,0:00:00,7/1/2016,0:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,3/18/2020,988874,207673,40.73669807,-73.98331603,"(40.736698070000045, -73.98331602599995)"
517974194,34,MANHATTAN,3/14/2016,16:00:00,4/26/2020,16:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,5/5/2020,1001534,248877,40.84977622,-73.93752716,"(40.849776217000056, -73.93752716499995)"
487346031,19,MANHATTAN,4/1/2016,9:00:00,2/12/2020,9:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,349,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,2/14/2020,995040,223179,40.77925271,-73.96104151,"(40.77925270900005, -73.96104150999997)"
367412512,13,MANHATTAN,5/25/2016,9:00:00,11/19/2018,17:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,5/17/2020,987535,208903,40.74007471,-73.98814712,"(40.74007471400006, -73.98814712499995)"
163782558,18,MANHATTAN,6/25/2016,11:30:00,11/12/2019,21:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",STREET,2/19/2020,990819,216088,40.7597939,-73.97628939,"(40.75979390100008, -73.97628939399993)"
784475162,5,MANHATTAN,8/4/2016,15:00:00,5/27/2020,10:00:00,COMPLETED,,N.Y. POLICE DEPT,125,FELONY,INSIDE,NYS LAWS-UNCLASSIFIED FELONY,,847,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER,5/28/2020,983903,200257,40.71634415,-74.00125319,"(40.71634415200003, -74.00125319299997)"
577768082,18,MANHATTAN,8/17/2016,12:00:00,8/18/2016,14:40:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,313,"LARCENY,PETIT BY FALSE PROMISE",RESIDENCE - APT. HOUSE,3/11/2020,987488,219610,40.76946273,-73.98831158,"(40.76946273100003, -73.98831157599994)"
881507062,13,MANHATTAN,8/18/2016,21:00:00,8/18/2016,23:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,3/19/2020,988874,207673,40.73669807,-73.98331603,"(40.736698070000045, -73.98331602599995)"
742167698,25,MANHATTAN,8/22/2016,20:00:00,2/17/2018,1:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,1/29/2020,1000555,230994,40.80069433,-73.94110929,"(40.800694331000045, -73.94110928599997)"
617860640,23,MANHATTAN,9/16/2016,13:25:00,9/19/2016,13:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",STREET,2/26/2020,1000719,229746,40.79726861,-73.94051999,"(40.797268607000035, -73.94051999299995)"
196137002,23,MANHATTAN,10/5/2016,18:00:00,10/23/2019,12:00:00,COMPLETED,,N.Y. HOUSING POLICE,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - PUBLIC HOUSING,1/7/2020,998862,226396,40.78807703,-73.94723425,"(40.78807702700004, -73.94723424799997)"
742841631,1,MANHATTAN,10/28/2016,0:01:00,10/28/2016,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,1/28/2020,982285,201682,40.72025522,-74.00709028,"(40.72025522300004, -74.00709027999994)"
375957517,14,MANHATTAN,11/7/2016,0:01:00,11/25/2016,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",BANK,2/11/2020,987314,211868,40.74821298,-73.98894328,"(40.74821297900007, -73.98894327999994)"
521562187,19,MANHATTAN,11/18/2016,11:00:00,3/3/2020,11:44:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,637,"HARASSMENT,SUBD 1,CIVILIAN",,3/4/2020,993847,219377,40.76881859,-73.96535456,"(40.76881859000008, -73.96535455699996)"
853412723,1,MANHATTAN,12/19/2016,12:00:00,1/19/2020,21:54:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,PUBLIC BUILDING,2/3/2020,981905,195924,40.70445079,-74.00845914,"(40.70445078900008, -74.00845914199994)"
986303070,19,MANHATTAN,12/27/2016,8:00:00,1/3/2017,8:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,428,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",RESIDENCE - APT. HOUSE,2/14/2020,997324,218520,40.76646189,-73.95280363,"(40.76646188900003, -73.95280363199998)"
